sep=,
"","Reaction Mix","Target","Sample/NTC/Control","Type","Concentration (copies/µL)","CI (95%)","Partitions (valid)","Partitions (positive)","Partitions (negative)","Threshold"
"D2","unc cdh","unc snp","bd epb03","Sample","200.7","8.6%","8253","500","7753","-"
"D2","unc cdh","unc wt","bd epb03","Sample","266.0","7.5%","8251","656","7595","-"
"D3","unc cdh","cdh snp","bd epb04","Sample","0.394","274.4%","8238","1","8237","-"
"D3","unc cdh","cdh wt","bd epb04","Sample","0.788","168.6%","8240","2","8238","-"
"D3","unc cdh","unc snp","bd epb04","Sample","234.5","8%","8240","574","7666","-"
"D3","unc cdh","unc wt","bd epb04","Sample","280.6","7.4%","8240","682","7558","-"
"D4","unc cdh","cdh snp","bd epb05","Sample","0.397","274%","8248","1","8247","-"
"D4","unc cdh","cdh wt","bd epb05","Sample","0.794","168.3%","8248","2","8246","-"
"D4","unc cdh","unc snp","bd epb05","Sample","52.4","17.1%","8248","131","8117","-"
"D4","unc cdh","unc wt","bd epb05","Sample","67.8","15%","8248","169","8079","-"
"D5","unc cdh","cdh snp","bd epb06","Sample","0.398","274%","8223","1","8222","-"
"D5","unc cdh","cdh wt","bd epb06","Sample","0.794","168.3%","8247","2","8245","-"
"D5","unc cdh","unc snp","bd epb06","Sample","208.4","8.5%","8250","509","7741","-"
"D5","unc cdh","unc wt","bd epb06","Sample","245.9","7.9%","8248","597","7651","-"
"D6","unc cdh","cdh snp","bd unc02","Sample","0.0","-","8217","0","8217","-"
"D6","unc cdh","cdh wt","bd unc02","Sample","0.800","168.7%","8217","2","8215","-"
"D6","unc cdh","unc snp","bd unc02","Sample","82.2","13.7%","8217","203","8014","-"
"D6","unc cdh","unc wt","bd unc02","Sample","99.9","12.4%","8217","246","7971","-"
"D7","unc cdh","cdh snp","bd unc03","Sample","1.2","130.1%","8238","3","8235","-"
"D7","unc cdh","cdh wt","bd unc03","Sample","5.3","56.3%","8241","13","8228","-"
"D7","unc cdh","unc snp","bd unc03","Sample","252.3","7.9%","8241","600","7641","-"
"D7","unc cdh","unc wt","bd unc03","Sample","302.5","7.2%","8240","714","7526","-"
