sep=,
"","Reaction Mix","Target","Sample/NTC/Control","Type","Concentration (copies/µL)","CI (95%)","Partitions (valid)","Partitions (positive)","Partitions (negative)","Threshold"
"B12","unccdh","cdh wt","ntc","Non Template Control","0.0","-","8261","0","8261","-"
"B12","unccdh","unc snp","ntc","Non Template Control","0.0","-","8261","0","8261","-"
"B12","unccdh","unc wt","ntc","Non Template Control","0.0","-","8261","0","8261","-"
"C1","slcvsir","slc snp","tes epb01","Sample","4016.6","1.9%","8238","5967","2271","-"
"C1","slcvsir","slc wt","tes epb01","Sample","4858.7","1.7%","8236","6503","1733","-"
"C1","slcvsir","vsir snp","tes epb01","Sample","162.7","9.5%","8238","419","7819","-"
"C1","slcvsir","vsir wt","tes epb01","Sample","247.2","7.7%","8238","628","7610","-"
"C2","slcvsir","slc snp","tes epb03","Sample","8770.5","1.3%","8258","7731","527","-"
"C2","slcvsir","slc wt","tes epb03","Sample","10960.1","1.2%","8254","7989","265","-"
"C2","slcvsir","vsir snp","tes epb03","Sample","391.4","6.2%","8256","954","7302","-"
"C2","slcvsir","vsir wt","tes epb03","Sample","567.2","5.1%","8257","1346","6911","-"
"C3","slcvsir","slc snp","tes epb04","Sample","8729.4","1.3%","8259","7697","562","-"
"C3","slcvsir","slc wt","tes epb04","Sample","11283.5","1.2%","8259","8003","256","-"
"C3","slcvsir","vsir snp","tes epb04","Sample","338.8","6.7%","8259","818","7441","-"
"C3","slcvsir","vsir wt","tes epb04","Sample","494.3","5.5%","8260","1166","7094","-"
"C4","slcvsir","slc snp","tes epb05","Sample","3768.6","2%","8257","5692","2565","-"
"C4","slcvsir","slc wt","tes epb05","Sample","4736.5","1.8%","8254","6355","1899","-"
"C4","slcvsir","vsir snp","tes epb05","Sample","145.4","10.2%","8255","364","7891","-"
"C4","slcvsir","vsir wt","tes epb05","Sample","230.2","8.1%","8257","569","7688","-"
"C5","slcvsir","slc snp","tes epb06","Sample","3771.2","2%","8261","5651","2610","-"
"C5","slcvsir","slc wt","tes epb06","Sample","4701.2","1.8%","8259","6295","1964","-"
"C5","slcvsir","vsir snp","tes epb06","Sample","128.5","10.9%","8260","318","7942","-"
"C5","slcvsir","vsir wt","tes epb06","Sample","205.6","8.6%","8261","503","7758","-"
"C6","slcvsir","slc snp","tes unc04","Sample","4912.8","1.8%","8250","6368","1882","-"
"C6","slcvsir","slc wt","tes unc04","Sample","6326.2","1.6%","8249","7019","1230","-"
"C6","slcvsir","vsir snp","tes unc04","Sample","185.6","9.1%","8249","448","7801","-"
"C6","slcvsir","vsir wt","tes unc04","Sample","279.8","7.4%","8250","666","7584","-"
"C7","slcvsir","slc snp","tes unc05","Sample","3241.9","2.2%","8248","5173","3075","-"
"C7","slcvsir","slc wt","tes unc05","Sample","4203.8","1.9%","8246","5952","2294","-"
"C7","slcvsir","vsir snp","tes unc05","Sample","160.8","9.8%","8247","394","7853","-"
"C7","slcvsir","vsir wt","tes unc05","Sample","230.2","8.2%","8248","558","7690","-"
"C8","slcvsir","slc snp","tes unc06","Sample","4408.6","1.9%","8255","6086","2169","-"
"C8","slcvsir","slc wt","tes unc06","Sample","5493.1","1.7%","8254","6693","1561","-"
"C8","slcvsir","vsir snp","tes unc06","Sample","195.9","8.9%","8254","476","7778","-"
"C8","slcvsir","vsir wt","tes unc06","Sample","294.5","7.2%","8255","705","7550","-"
"C9","slcvsir","slc snp","tes unc07","Sample","7823.5","1.4%","8256","7527","729","-"
"C9","slcvsir","slc wt","tes unc07","Sample","10196.3","1.2%","8252","7903","349","-"
"C9","slcvsir","vsir snp","tes unc07","Sample","229.8","8.1%","8255","568","7687","-"
"C9","slcvsir","vsir wt","tes unc07","Sample","428.7","5.9%","8255","1028","7227","-"
"C10","slcvsir","slc snp","tes unc08","Sample","10435.6","1.2%","8250","7918","332","-"
"C10","slcvsir","slc wt","tes unc08","Sample","12766.2","1.1%","8250","8088","162","-"
"C10","slcvsir","vsir snp","tes unc08","Sample","379.6","6.3%","8250","910","7340","-"
"C10","slcvsir","vsir wt","tes unc08","Sample","614.0","5%","8250","1421","6829","-"
"C11","slcvsir","slc snp","tes unc09","Sample","9226.3","1.3%","8260","7788","472","-"
"C11","slcvsir","slc wt","tes unc09","Sample","11147.6","1.2%","8258","7998","260","-"
"C11","slcvsir","vsir snp","tes unc09","Sample","295.0","7.1%","8257","722","7535","-"
"C11","slcvsir","vsir wt","tes unc09","Sample","511.5","5.4%","8260","1212","7048","-"
"C12","slcvsir","slc snp","ntc","Non Template Control","0.379","274.5%","8263","1","8262","-"
"C12","slcvsir","slc wt","ntc","Non Template Control","1.5","109.2%","8263","4","8259","-"
"C12","slcvsir","vsir snp","ntc","Non Template Control","0.379","274.5%","8263","1","8262","-"
"C12","slcvsir","vsir wt","ntc","Non Template Control","0.0","-","8263","0","8263","-"
"D1","slcvsir","slc snp","tes epb01","Sample","4063.5","1.9%","8256","6014","2242","-"
"D1","slcvsir","slc wt","tes epb01","Sample","5043.1","1.7%","8254","6617","1637","-"
"D1","slcvsir","vsir snp","tes epb01","Sample","181.3","9%","8246","466","7780","-"
"D1","slcvsir","vsir wt","tes epb01","Sample","268.4","7.4%","8254","681","7573","-"
"D2","slcvsir","slc snp","tes epb03","Sample","9098.4","1.3%","8262","7776","486","-"
"D2","slcvsir","slc wt","tes epb03","Sample","10744.6","1.2%","8260","7969","291","-"
