sep=,
"","Reaction Mix","Target","Sample/NTC/Control","Type","Concentration (copies/µL)","CI (95%)","Partitions (valid)","Partitions (positive)","Partitions (negative)","Threshold"
"D11","slcvsir","vsir snp","bd unc07","Sample","463.2","5.7%","8271","1107","7164","-"
"D11","slcvsir","vsir wt","bd unc07","Sample","533.2","5.3%","8272","1261","7011","-"
"D12","slcvsir","slc snp","bd unc08","Sample","119.1","11.1%","8248","307","7941","-"
"D12","slcvsir","slc wt","bd unc08","Sample","98.2","12.2%","8246","254","7992","-"
"D12","slcvsir","vsir snp","bd unc08","Sample","375.2","6.2%","8248","929","7319","-"
"D12","slcvsir","vsir wt","bd unc08","Sample","389.4","6.1%","8248","962","7286","-"
"E1","slcvsir","slc snp","liv epb02","Sample","232.2","8%","8239","583","7656","-"
"E1","slcvsir","slc wt","liv epb02","Sample","206.8","8.4%","8233","521","7712","-"
"E1","slcvsir","vsir snp","liv epb02","Sample","255.5","7.6%","8237","639","7598","-"
"E1","slcvsir","vsir wt","liv epb02","Sample","229.7","8%","8239","577","7662","-"
"E2","slcvsir","slc snp","liv epb03","Sample","180.7","9.1%","8255","450","7805","-"
"E2","slcvsir","slc wt","liv epb03","Sample","153.6","9.9%","8254","384","7870","-"
"E2","slcvsir","vsir snp","liv epb03","Sample","286.1","7.2%","8255","701","7554","-"
"E2","slcvsir","vsir wt","liv epb03","Sample","268.6","7.5%","8255","660","7595","-"
"E3","slcvsir","slc snp","liv epb04","Sample","156.2","9.8%","8265","388","7877","-"
"E3","slcvsir","slc wt","liv epb04","Sample","123.7","11%","8266","309","7957","-"
"E3","slcvsir","vsir snp","liv epb04","Sample","153.3","9.9%","8265","381","7884","-"
"E3","slcvsir","vsir wt","liv epb04","Sample","184.3","9%","8265","456","7809","-"
"E4","slcvsir","slc snp","liv epb05","Sample","322.0","6.9%","8274","778","7496","-"
"E4","slcvsir","slc wt","liv epb05","Sample","270.2","7.5%","8274","658","7616","-"
"E4","slcvsir","vsir snp","liv epb05","Sample","354.8","6.5%","8273","853","7420","-"
"E4","slcvsir","vsir wt","liv epb05","Sample","399.0","6.2%","8274","953","7321","-"
"E5","slcvsir","slc snp","liv epb06","Sample","218.3","8.5%","8260","521","7739","-"
"E5","slcvsir","slc wt","liv epb06","Sample","155.7","10%","8260","375","7885","-"
"E5","slcvsir","vsir snp","liv epb06","Sample","189.0","9.1%","8242","452","7790","-"
"E5","slcvsir","vsir wt","liv epb06","Sample","194.2","9%","8257","465","7792","-"
"E6","slcvsir","slc snp","liv unc02","Sample","129.9","10.9%","8274","317","7957","-"
"E6","slcvsir","slc wt","liv unc02","Sample","124.0","11.2%","8274","303","7971","-"
"E6","slcvsir","vsir snp","liv unc02","Sample","130.7","10.9%","8274","319","7955","-"
"E6","slcvsir","vsir wt","liv unc02","Sample","133.2","10.8%","8274","325","7949","-"
"E7","slcvsir","slc snp","liv unc03","Sample","160.9","9.9%","8272","385","7887","-"
"E7","slcvsir","slc wt","liv unc03","Sample","146.0","10.4%","8271","350","7921","-"
"E7","slcvsir","vsir snp","liv unc03","Sample","260.9","7.8%","8272","615","7657","-"
"E7","slcvsir","vsir wt","liv unc03","Sample","263.5","7.7%","8272","621","7651","-"
"E8","slcvsir","slc snp","liv unc04","Sample","115.5","11.6%","8262","280","7982","-"
"E8","slcvsir","slc wt","liv unc04","Sample","129.8","11%","8262","314","7948","-"
"E8","slcvsir","vsir snp","liv unc04","Sample","182.9","9.2%","8262","439","7823","-"
"E8","slcvsir","vsir wt","liv unc04","Sample","200.6","8.8%","8261","480","7781","-"
"E9","slcvsir","slc snp","liv unc05","Sample","227.5","8.2%","8252","550","7702","-"
"E9","slcvsir","slc wt","liv unc05","Sample","203.6","8.7%","8252","494","7758","-"
"E9","slcvsir","vsir snp","liv unc05","Sample","262.4","7.7%","8252","631","7621","-"
"E9","slcvsir","vsir wt","liv unc05","Sample","228.4","8.2%","8252","552","7700","-"
"E10","slcvsir","slc snp","liv unc06","Sample","111.5","11.8%","8244","273","7971","-"
"E10","slcvsir","slc wt","liv unc06","Sample","98.3","12.6%","8242","241","8001","-"
"E10","slcvsir","vsir snp","liv unc06","Sample","205.1","8.7%","8241","495","7746","-"
"E10","slcvsir","vsir wt","liv unc06","Sample","202.5","8.7%","8244","489","7755","-"
"E11","slcvsir","slc snp","liv unc07","Sample","174.9","9.3%","8279","434","7845","-"
"E11","slcvsir","slc wt","liv unc07","Sample","170.8","9.4%","8278","424","7854","-"
"E11","slcvsir","vsir snp","liv unc07","Sample","122.3","11.1%","8279","306","7973","-"
"E11","slcvsir","vsir wt","liv unc07","Sample","123.1","11.1%","8279","308","7971","-"
"E12","slcvsir","slc snp","liv unc08","Sample","186.3","8.9%","8252","472","7780","-"
"E12","slcvsir","slc wt","liv unc08","Sample","179.9","9.1%","8251","456","7795","-"
"E12","slcvsir","vsir snp","liv unc08","Sample","171.7","9.3%","8252","436","7816","-"
"E12","slcvsir","vsir wt","liv unc08","Sample","160.4","9.6%","8252","408","7844","-"
"F1","slcvsir","slc snp","liv epb02","Sample","187.5","8.9%","8251","473","7778","-"
"F1","slcvsir","slc wt","liv epb02","Sample","162.3","9.6%","8248","411","7837","-"
"F1","slcvsir","vsir snp","liv epb02","Sample","180.6","9.1%","8249","456","7793","-"
"F1","slcvsir","vsir wt","liv epb02","Sample","184.6","9%","8251","466","7785","-"
"F2","slcvsir","slc snp","liv epb03","Sample","156.0","9.8%","8271","395","7876","-"
"F2","slcvsir","slc wt","liv epb03","Sample","155.6","9.8%","8271","394","7877","-"
"F2","slcvsir","vsir snp","liv epb03","Sample","256.7","7.6%","8270","640","7630","-"
"F2","slcvsir","vsir wt","liv epb03","Sample","271.8","7.4%","8271","676","7595","-"
"F3","slcvsir","slc snp","liv epb04","Sample","162.3","9.7%","8279","402","7877","-"
"F3","slcvsir","slc wt","liv epb04","Sample","126.1","11%","8279","314","7965","-"
"F3","slcvsir","vsir snp","liv epb04","Sample","196.8","8.8%","8279","485","7794","-"
"F3","slcvsir","vsir wt","liv epb04","Sample","180.6","9.2%","8279","446","7833","-"
"F4","slcvsir","slc snp","liv epb05","Sample","285.4","7.4%","8253","679","7574","-"
"F4","slcvsir","slc wt","liv epb05","Sample","229.3","8.2%","8253","550","7703","-"
"F4","slcvsir","vsir snp","liv epb05","Sample","301.7","7.2%","8253","716","7537","-"
"F4","slcvsir","vsir wt","liv epb05","Sample","310.5","7.1%","8253","736","7517","-"
"F5","slcvsir","slc snp","liv epb06","Sample","215.3","8.5%","8258","512","7746","-"
