sep=,
"","Reaction Mix","Target","Sample/NTC/Control","Type","Concentration (copies/µL)","CI (95%)","Partitions (valid)","Partitions (positive)","Partitions (negative)","Threshold"
"C8","slccdh","slc wt","cb unc06","Sample","907.2","4.1%","8243","1982","6261","-"
"C9","slccdh","cdh snp","cb unc07","Sample","26.6","23.9%","8261","68","8193","-"
"C9","slccdh","cdh wt","cb unc07","Sample","17.6","29.5%","8261","45","8216","-"
"C9","slccdh","slc snp","cb unc07","Sample","887.8","4.1%","8262","1989","6273","-"
"C9","slccdh","slc wt","cb unc07","Sample","862.7","4.2%","8262","1940","6322","-"
"C10","slccdh","cdh snp","cb unc09","Sample","27.7","23.5%","8255","70","8185","-"
"C10","slccdh","cdh wt","cb unc09","Sample","16.2","30.9%","8262","41","8221","-"
"C10","slccdh","slc snp","cb unc09","Sample","1021.8","3.8%","8262","2230","6032","-"
"C10","slccdh","slc wt","cb unc09","Sample","1079.6","3.7%","8261","2336","5925","-"
"C11","slccdh","cdh snp","cb unc10","Sample","26.7","23.8%","8251","68","8183","-"
"C11","slccdh","cdh wt","cb unc10","Sample","17.2","29.8%","8261","44","8217","-"
"C11","slccdh","slc snp","cb unc10","Sample","934.8","4%","8263","2080","6183","-"
"C11","slccdh","slc wt","cb unc10","Sample","945.9","4%","8262","2101","6161","-"
"C12","slccdh","cdh snp","ntc","Sample","0.0","-","8237","0","8237","-"
"C12","slccdh","cdh wt","ntc","Sample","0.0","-","8237","0","8237","-"
"C12","slccdh","slc snp","ntc","Sample","0.0","-","8237","0","8237","-"
"C12","slccdh","slc wt","ntc","Sample","0.0","-","8237","0","8237","-"
"D1","slccdh","cdh snp","cb epb01","Sample","20.8","26.6%","8254","55","8199","-"
"D1","slccdh","cdh wt","cb epb01","Sample","30.0","22.1%","8258","79","8179","-"
"D1","slccdh","slc snp","cb epb01","Sample","905.3","4%","8260","2082","6178","-"
"D1","slccdh","slc wt","cb epb01","Sample","788.2","4.3%","8258","1845","6413","-"
"D2","slccdh","cdh snp","cb epb03","Sample","27.8","23.4%","8247","71","8176","-"
"D2","slccdh","cdh wt","cb epb03","Sample","39.6","19.5%","8251","101","8150","-"
"D2","slccdh","slc snp","cb epb03","Sample","1026.8","3.8%","8251","2258","5993","-"
"D2","slccdh","slc wt","cb epb03","Sample","908.8","4.1%","8244","2032","6212","-"
"D3","slccdh","cdh snp","cb epb04","Sample","17.4","29.8%","8251","44","8207","-"
"D3","slccdh","cdh wt","cb epb04","Sample","29.3","22.9%","8251","74","8177","-"
"D3","slccdh","slc snp","cb epb04","Sample","753.3","4.5%","8252","1708","6544","-"
"D3","slccdh","slc wt","cb epb04","Sample","666.7","4.8%","8251","1531","6720","-"
"D4","slccdh","cdh snp","cb epb05","Sample","16.3","30.9%","8250","41","8209","-"
"D4","slccdh","cdh wt","cb epb05","Sample","22.7","26.1%","8251","57","8194","-"
"D4","slccdh","slc snp","cb epb05","Sample","823.3","4.3%","8251","1835","6416","-"
"D4","slccdh","slc wt","cb epb05","Sample","727.3","4.6%","8251","1644","6607","-"
"D5","slccdh","cdh snp","cb epb06","Sample","56.8","16.4%","8249","142","8107","-"
"D5","slccdh","cdh wt","cb epb06","Sample","58.4","16.2%","8255","146","8109","-"
"D5","slccdh","slc snp","cb epb06","Sample","1181.6","3.6%","8257","2502","5755","-"
"D5","slccdh","slc wt","cb epb06","Sample","1056.3","3.8%","8255","2277","5978","-"
"D6","slccdh","cdh snp","cb unc02","Sample","22.8","26.1%","8247","57","8190","-"
"D6","slccdh","cdh wt","cb unc02","Sample","18.8","28.8%","8244","47","8197","-"
"D6","slccdh","slc snp","cb unc02","Sample","867.0","4.2%","8248","1913","6335","-"
"D6","slccdh","slc wt","cb unc02","Sample","917.7","4.1%","8244","2009","6235","-"
"D7","slccdh","cdh snp","cb unc04","Sample","26.8","24.3%","8246","66","8180","-"
"D7","slccdh","cdh wt","cb unc04","Sample","19.1","28.8%","8245","47","8198","-"
"D7","slccdh","slc snp","cb unc04","Sample","969.7","4%","8249","2080","6169","-"
"D7","slccdh","slc wt","cb unc04","Sample","1038.1","3.9%","8248","2205","6043","-"
"D8","slccdh","cdh snp","cb unc06","Sample","18.1","29.5%","8256","45","8211","-"
"D8","slccdh","cdh wt","cb unc06","Sample","10.8","38.4%","8262","27","8235","-"
"D8","slccdh","slc snp","cb unc06","Sample","825.5","4.3%","8262","1823","6439","-"
"D8","slccdh","slc wt","cb unc06","Sample","870.0","4.2%","8262","1909","6353","-"
"D9","slccdh","cdh snp","cb unc07","Sample","23.9","25.4%","8274","60","8214","-"
"D9","slccdh","cdh wt","cb unc07","Sample","17.1","30.2%","8273","43","8230","-"
"D9","slccdh","slc snp","cb unc07","Sample","855.8","4.2%","8277","1898","6379","-"
"D9","slccdh","slc wt","cb unc07","Sample","818.0","4.3%","8276","1824","6452","-"
"D10","slccdh","cdh snp","cb unc09","Sample","18.5","28.8%","8257","47","8210","-"
"D10","slccdh","cdh wt","cb unc09","Sample","19.3","28.2%","8258","49","8209","-"
"D10","slccdh","slc snp","cb unc09","Sample","985.7","3.9%","8260","2162","6098","-"
"D10","slccdh","slc wt","cb unc09","Sample","1064.7","3.8%","8258","2308","5950","-"
"D11","slccdh","cdh snp","cb unc10","Sample","29.9","22.5%","8244","76","8168","-"
"D11","slccdh","cdh wt","cb unc10","Sample","19.6","27.9%","8250","50","8200","-"
"D11","slccdh","slc snp","cb unc10","Sample","1019.6","3.8%","8250","2237","6013","-"
"D11","slccdh","slc wt","cb unc10","Sample","992.8","3.9%","8247","2186","6061","-"
"D12","slccdh","cdh snp","ntc","Sample","0.0","-","8253","0","8253","-"
"D12","slccdh","cdh wt","ntc","Sample","0.0","-","8254","0","8254","-"
"D12","slccdh","slc snp","ntc","Sample","0.0","-","8253","0","8253","-"
"D12","slccdh","slc wt","ntc","Sample","0.0","-","8252","0","8252","-"
"E1","slccdh","cdh snp","hrt epb02","Sample","27.0","23.5%","8242","70","8172","-"
"E1","slccdh","cdh wt","hrt epb02","Sample","39.0","19.5%","8245","101","8144","-"
"E1","slccdh","slc snp","hrt epb02","Sample","14.2","32.6%","8245","37","8208","-"
"E1","slccdh","slc wt","hrt epb02","Sample","10.0","39.1%","8225","26","8199","-"
"E2","slccdh","cdh snp","hrt epb03","Sample","27.0","23.7%","8258","69","8189","-"
"E2","slccdh","cdh wt","hrt epb03","Sample","35.7","20.6%","8256","91","8165","-"
"E2","slccdh","slc snp","hrt epb03","Sample","10.6","38.4%","8260","27","8233","-"
"E2","slccdh","slc wt","hrt epb03","Sample","14.9","32.2%","8255","38","8217","-"
"E3","slccdh","cdh snp","hrt epb04","Sample","30.4","22.4%","8272","77","8195","-"
"E3","slccdh","cdh wt","hrt epb04","Sample","28.4","23.2%","8274","72","8202","-"
