sep=,
"","Reaction Mix","Target","Sample/NTC/Control","Type","Concentration (copies/µL)","CI (95%)","Partitions (valid)","Partitions (positive)","Partitions (negative)","Threshold"
"C4","uncsgpl","unc snp","cb epb05","Sample","330.6","6.7%","8238","803","7435","-"
"C4","uncsgpl","unc wt","cb epb05","Sample","448.5","5.8%","8238","1070","7168","-"
"C4","uncsgpl","vsir snp","cb epb05","Sample","260.7","7.6%","8238","640","7598","-"
"C4","uncsgpl","vsir wt","cb epb05","Sample","318.5","6.9%","8238","775","7463","-"
"C5","uncsgpl","unc snp","cb epb06","Sample","354.7","6.6%","8062","828","7234","-"
"C5","uncsgpl","unc wt","cb epb06","Sample","489.1","5.6%","8062","1119","6943","-"
"C5","uncsgpl","vsir snp","cb epb06","Sample","253.6","7.8%","8062","601","7461","-"
"C5","uncsgpl","vsir wt","cb epb06","Sample","311.6","7.1%","8062","732","7330","-"
"C6","uncsgpl","unc snp","cb unc02","Sample","400.8","6.2%","8267","939","7328","-"
"C6","uncsgpl","unc wt","cb unc02","Sample","526.1","5.4%","8267","1210","7057","-"
"C6","uncsgpl","vsir snp","cb unc02","Sample","241.4","8%","8267","579","7688","-"
"C6","uncsgpl","vsir wt","cb unc02","Sample","336.1","6.8%","8267","795","7472","-"
"C7","uncsgpl","unc snp","cb unc04","Sample","160.6","9.8%","8261","394","7867","-"
"C7","uncsgpl","unc wt","cb unc04","Sample","226.4","8.2%","8261","550","7711","-"
"C7","uncsgpl","vsir snp","cb unc04","Sample","109.2","11.9%","8259","270","7989","-"
"C7","uncsgpl","vsir wt","cb unc04","Sample","141.0","10.4%","8261","347","7914","-"
"C8","uncsgpl","unc snp","cb unc06","Sample","328.4","6.8%","8262","783","7479","-"
"C8","uncsgpl","unc wt","cb unc06","Sample","420.1","6%","8261","988","7273","-"
"C8","uncsgpl","vsir snp","cb unc06","Sample","215.7","8.4%","8261","523","7738","-"
"C8","uncsgpl","vsir wt","cb unc06","Sample","275.9","7.5%","8262","663","7599","-"
