sep=,
"","Reaction Mix","Target","Sample/NTC/Control","Type","Concentration (copies/µL)","CI (95%)","Partitions (valid)","Partitions (positive)","Partitions (negative)","Threshold"
"B11","uncvsir","unc snp","lun unc07","Sample","7.7","46.1%","7865","19","7846","-"
"B11","uncvsir","unc wt","lun unc07","Sample","14.8","33.1%","7752","36","7716","-"
"B11","uncvsir","vsir snp","lun unc07","Sample","226.1","8.2%","8134","557","7577","-"
"B11","uncvsir","vsir wt","lun unc07","Sample","226.5","8.2%","8134","558","7576","-"
"B12","uncvsir","unc snp","lun unc10","Sample","24.2","25%","8004","62","7942","-"
"B12","uncvsir","unc wt","lun unc10","Sample","49.8","17.2%","8201","130","8071","-"
"B12","uncvsir","vsir snp","lun unc10","Sample","609.5","4.9%","8198","1456","6742","-"
"B12","uncvsir","vsir wt","lun unc10","Sample","714.1","4.5%","8201","1679","6522","-"
"C1","psapsgpl","psap snp","spl epb01","Sample","4102.8","2.8%","3759","2751","1008","-"
"C1","psapsgpl","psap wt","spl epb01","Sample","3604.1","3%","3699","2535","1164","-"
"C1","psapsgpl","sgpl snp","spl epb01","Sample","105.3","11.8%","8219","273","7946","-"
"C1","psapsgpl","sgpl wt","spl epb01","Sample","102.9","11.9%","8219","267","7952","-"
"C2","psapsgpl","psap snp","spl epb02","Sample","4136.0","2.2%","6139","4462","1677","-"
"C2","psapsgpl","psap wt","spl epb02","Sample","3117.9","2.5%","6192","3864","2328","-"
"C2","psapsgpl","sgpl snp","spl epb02","Sample","151.1","10.1%","7906","366","7540","-"
"C2","psapsgpl","sgpl wt","spl epb02","Sample","176.5","9.4%","7906","426","7480","-"
"C3","psapsgpl","psap snp","spl epb03","Sample","5703.8","1.8%","6988","5781","1207","-"
"C3","psapsgpl","psap wt","spl epb03","Sample","4775.9","1.8%","7675","5911","1764","-"
"C3","psapsgpl","sgpl snp","spl epb03","Sample","227.6","8.2%","8232","557","7675","-"
"C3","psapsgpl","sgpl wt","spl epb03","Sample","275.2","7.4%","8234","669","7565","-"
"C4","psapsgpl","psap snp","spl epb04","Sample","0.0","-","2559","0","2559","-"
"C4","psapsgpl","psap wt","spl epb04","Sample","0.0","-","2559","0","2559","-"
"C4","psapsgpl","sgpl snp","spl epb04","Sample","0.0","-","2559","0","2559","-"
"C4","psapsgpl","sgpl wt","spl epb04","Sample","0.0","-","2559","0","2559","-"
"C5","psapsgpl","psap snp","spl epb05","Sample","623.3","14.7%","940","163","777","-"
