sep=,
"","Reaction Mix","Target","Sample/NTC/Control","Type","Concentration (copies/µL)","CI (95%)","Partitions (valid)","Partitions (positive)","Partitions (negative)","Threshold"
"C8","psapvsir","vsir snp","lun unc04","Sample","0.409","274.1%","8067","1","8066","-"
"C8","psapvsir","vsir wt","lun unc04","Sample","0.817","168.4%","8071","2","8069","-"
"C9","psapvsir","psap snp","lun unc05","Sample","45.6","18.4%","8113","114","7999","-"
"C9","psapvsir","psap wt","lun unc05","Sample","20.7","27.4%","8109","52","8057","-"
"C9","psapvsir","vsir snp","lun unc05","Sample","2.4","86.1%","8109","6","8103","-"
"C9","psapvsir","vsir wt","lun unc05","Sample","2.4","86.1%","8113","6","8107","-"
"C10","psapvsir","psap snp","lun unc06","Sample","62.0","15.7%","8249","156","8093","-"
"C10","psapvsir","psap wt","lun unc06","Sample","35.2","20.8%","8248","89","8159","-"
"C10","psapvsir","vsir snp","lun unc06","Sample","5.5","54.1%","8242","14","8228","-"
"C10","psapvsir","vsir wt","lun unc06","Sample","7.9","44.8%","8245","20","8225","-"
"C11","psapvsir","psap snp","lun unc07","Sample","18.8","28.5%","8252","48","8204","-"
"C11","psapvsir","psap wt","lun unc07","Sample","8.2","43.6%","8257","21","8236","-"
"C11","psapvsir","vsir snp","lun unc07","Sample","0.391","274%","8247","1","8246","-"
"C11","psapvsir","vsir wt","lun unc07","Sample","2.7","78.9%","8246","7","8239","-"
"C12","psapvsir","psap snp","lun unc10","Sample","43.2","18.5%","8249","113","8136","-"
"C12","psapvsir","psap wt","lun unc10","Sample","24.4","24.6%","8247","64","8183","-"
"C12","psapvsir","vsir snp","lun unc10","Sample","4.6","58.8%","8244","12","8232","-"
"C12","psapvsir","vsir wt","lun unc10","Sample","6.8","47.4%","8244","18","8226","-"
"D1","psapvsir","psap snp","lun epb01","Sample","17.8","28.9%","8252","47","8205","-"
"D1","psapvsir","psap wt","lun epb01","Sample","13.3","33.6%","8242","35","8207","-"
"D1","psapvsir","vsir snp","lun epb01","Sample","1.5","109.2%","8249","4","8245","-"
"D1","psapvsir","vsir wt","lun epb01","Sample","1.5","109.2%","8254","4","8250","-"
"D2","psapvsir","psap snp","lun epb02","Sample","34.8","20.8%","8253","89","8164","-"
"D2","psapvsir","psap wt","lun epb02","Sample","16.8","30.2%","8249","43","8206","-"
"D2","psapvsir","vsir snp","lun epb02","Sample","5.5","54.2%","8255","14","8241","-"
"D2","psapvsir","vsir wt","lun epb02","Sample","3.5","68.8%","8259","9","8250","-"
"D3","psapvsir","psap snp","lun epb03","Sample","70.0","14.7%","8260","176","8084","-"
"D3","psapvsir","psap wt","lun epb03","Sample","32.8","21.6%","8256","83","8173","-"
"D3","psapvsir","vsir snp","lun epb03","Sample","3.9","64.9%","8256","10","8246","-"
"D3","psapvsir","vsir wt","lun epb03","Sample","6.3","50.4%","8260","16","8244","-"
"D4","psapvsir","psap snp","lun epb04","Sample","52.8","17%","8242","132","8110","-"
"D4","psapvsir","psap wt","lun epb04","Sample","37.2","20.3%","8234","93","8141","-"
"D4","psapvsir","vsir snp","lun epb04","Sample","5.2","56.2%","8237","13","8224","-"
"D4","psapvsir","vsir wt","lun epb04","Sample","6.0","52.1%","8242","15","8227","-"
"D5","psapvsir","psap snp","lun epb05","Sample","44.3","18.6%","8261","111","8150","-"
"D5","psapvsir","psap wt","lun epb05","Sample","25.1","24.8%","8260","63","8197","-"
"D5","psapvsir","vsir snp","lun epb05","Sample","2.8","78.9%","8231","7","8224","-"
"D5","psapvsir","vsir wt","lun epb05","Sample","5.2","56.2%","8250","13","8237","-"
"D6","psapvsir","psap snp","lun epb06","Sample","35.8","20.8%","8220","89","8131","-"
"D6","psapvsir","psap wt","lun epb06","Sample","18.0","29.5%","8222","45","8177","-"
"D6","psapvsir","vsir snp","lun epb06","Sample","2.0","95.7%","8223","5","8218","-"
"D6","psapvsir","vsir wt","lun epb06","Sample","4.4","61.6%","8224","11","8213","-"
"D7","psapvsir","psap snp","lun unc03","Sample","49.3","17.8%","8250","121","8129","-"
"D7","psapvsir","psap wt","lun unc03","Sample","22.3","26.6%","8246","55","8191","-"
"D7","psapvsir","vsir snp","lun unc03","Sample","4.1","64.9%","8244","10","8234","-"
"D7","psapvsir","vsir wt","lun unc03","Sample","6.5","50.4%","8248","16","8232","-"
"D8","psapvsir","psap snp","lun unc04","Sample","31.0","22.4%","8260","77","8183","-"
"D8","psapvsir","psap wt","lun unc04","Sample","15.7","31.7%","8256","39","8217","-"
"D8","psapvsir","vsir snp","lun unc04","Sample","1.6","109.1%","8256","4","8252","-"
"D8","psapvsir","vsir wt","lun unc04","Sample","1.2","130%","8263","3","8260","-"
"D9","psapvsir","psap snp","lun unc05","Sample","43.2","18.9%","8266","108","8158","-"
"D9","psapvsir","psap wt","lun unc05","Sample","24.3","25.2%","8263","61","8202","-"
"D9","psapvsir","vsir snp","lun unc05","Sample","5.2","56.3%","8265","13","8252","-"
"D9","psapvsir","vsir wt","lun unc05","Sample","2.0","95.6%","8267","5","8262","-"
"D10","psapvsir","psap snp","lun unc06","Sample","60.9","15.8%","8232","153","8079","-"
"D10","psapvsir","psap wt","lun unc06","Sample","39.7","19.6%","8232","100","8132","-"
"D10","psapvsir","vsir snp","lun unc06","Sample","5.9","52.2%","8224","15","8209","-"
"D10","psapvsir","vsir wt","lun unc06","Sample","7.1","47.4%","8233","18","8215","-"
"D11","psapvsir","psap snp","lun unc07","Sample","19.1","28.2%","8277","49","8228","-"
"D11","psapvsir","psap wt","lun unc07","Sample","12.5","35.1%","8274","32","8242","-"
"D11","psapvsir","vsir snp","lun unc07","Sample","1.2","129.9%","8272","3","8269","-"
"D11","psapvsir","vsir wt","lun unc07","Sample","1.6","109%","8277","4","8273","-"
"D12","psapvsir","psap snp","lun unc10","Sample","39.4","19.3%","8263","103","8160","-"
"D12","psapvsir","psap wt","lun unc10","Sample","22.9","25.5%","8258","60","8198","-"
"D12","psapvsir","vsir snp","lun unc10","Sample","4.2","61.6%","8258","11","8247","-"
"D12","psapvsir","vsir wt","lun unc10","Sample","5.3","54.1%","8258","14","8244","-"
"E1","psapvsir","psap snp","hrt epb02","Sample","6.5","48.8%","8255","17","8238","-"
"E1","psapvsir","psap wt","hrt epb02","Sample","11.9","35.7%","8239","31","8208","-"
"E1","psapvsir","vsir snp","hrt epb02","Sample","3.1","73.3%","8247","8","8239","-"
"E1","psapvsir","vsir wt","hrt epb02","Sample","1.1","129.9%","8255","3","8252","-"
"E2","psapvsir","psap snp","hrt epb03","Sample","8.6","42.7%","8249","22","8227","-"
"E2","psapvsir","psap wt","hrt epb03","Sample","7.1","47.4%","8233","18","8215","-"
"E2","psapvsir","vsir snp","hrt epb03","Sample","0.0","-","8249","0","8249","-"
"E2","psapvsir","vsir wt","hrt epb03","Sample","0.391","274.5%","8249","1","8248","-"
"E3","psapvsir","psap snp","hrt epb04","Sample","10.2","39%","8257","26","8231","-"
"E3","psapvsir","psap wt","hrt epb04","Sample","12.2","35.7%","8258","31","8227","-"
"E3","psapvsir","vsir snp","hrt epb04","Sample","1.2","129.8%","8260","3","8257","-"
"E3","psapvsir","vsir wt","hrt epb04","Sample","2.4","86%","8259","6","8253","-"
"E4","psapvsir","psap snp","hrt epb05","Sample","8.7","42.6%","8253","22","8231","-"
"E4","psapvsir","psap wt","hrt epb05","Sample","13.1","34.5%","8250","33","8217","-"
"E4","psapvsir","vsir snp","hrt epb05","Sample","1.2","129.8%","8248","3","8245","-"
"E4","psapvsir","vsir wt","hrt epb05","Sample","0.790","168.3%","8253","2","8251","-"
"E5","psapvsir","psap snp","hrt epb06","Sample","8.2","44.8%","8199","20","8179","-"
"E5","psapvsir","psap wt","hrt epb06","Sample","5.3","56.3%","8200","13","8187","-"
"E5","psapvsir","vsir snp","hrt epb06","Sample","0.0","-","8180","0","8180","-"
"E5","psapvsir","vsir wt","hrt epb06","Sample","1.6","109.1%","8188","4","8184","-"
"E6","psapvsir","psap snp","hrt unc01","Sample","4.5","61.5%","8125","11","8114","-"
"E6","psapvsir","psap wt","hrt unc01","Sample","6.6","50.4%","8122","16","8106","-"
"E6","psapvsir","vsir snp","hrt unc01","Sample","0.409","274.1%","8125","1","8124","-"
"E6","psapvsir","vsir wt","hrt unc01","Sample","0.409","274.1%","8125","1","8124","-"
"E7","psapvsir","psap snp","hrt unc03","Sample","4.5","61.6%","8244","11","8233","-"
"E7","psapvsir","psap wt","hrt unc03","Sample","3.7","68.7%","8244","9","8235","-"
"E7","psapvsir","vsir snp","hrt unc03","Sample","0.820","168.5%","8241","2","8239","-"
"E7","psapvsir","vsir wt","hrt unc03","Sample","0.410","274.3%","8245","1","8244","-"
"E8","psapvsir","psap snp","hrt unc04","Sample","5.3","56.2%","8238","13","8225","-"
"E8","psapvsir","psap wt","hrt unc04","Sample","5.3","56.2%","8239","13","8226","-"
"E8","psapvsir","vsir snp","hrt unc04","Sample","0.0","-","8235","0","8235","-"
"E8","psapvsir","vsir wt","hrt unc04","Sample","0.407","274.1%","8240","1","8239","-"
"E9","psapvsir","psap snp","hrt unc05","Sample","14.0","33.6%","8259","35","8224","-"
"E9","psapvsir","psap wt","hrt unc05","Sample","8.4","43.8%","8259","21","8238","-"
"E9","psapvsir","vsir snp","hrt unc05","Sample","0.799","168.9%","8260","2","8258","-"
"E9","psapvsir","vsir wt","hrt unc05","Sample","2.4","86.3%","8261","6","8255","-"
"E10","psapvsir","psap snp","hrt unc06","Sample","18.9","28.8%","8246","47","8199","-"
"E10","psapvsir","psap wt","hrt unc06","Sample","18.1","29.5%","8243","45","8198","-"
"E10","psapvsir","vsir snp","hrt unc06","Sample","2.4","86.1%","8240","6","8234","-"
"E10","psapvsir","vsir wt","hrt unc06","Sample","1.6","109.1%","8247","4","8243","-"
"E11","psapvsir","psap snp","hrt unc08","Sample","231.1","8.1%","8269","568","7701","-"
"E11","psapvsir","psap wt","hrt unc08","Sample","195.1","8.8%","8269","482","7787","-"
"E11","psapvsir","vsir snp","hrt unc08","Sample","5.1","56.4%","8266","13","8253","-"
"E11","psapvsir","vsir wt","hrt unc08","Sample","6.3","50.5%","8264","16","8248","-"
"E12","psapvsir","psap snp","hrt unc09","Sample","224.3","8.1%","8285","567","7718","-"
"E12","psapvsir","psap wt","hrt unc09","Sample","176.7","9.1%","8284","450","7834","-"
"E12","psapvsir","vsir snp","hrt unc09","Sample","3.1","73.3%","8282","8","8274","-"
"E12","psapvsir","vsir wt","hrt unc09","Sample","2.7","78.9%","8280","7","8273","-"
"F1","psapvsir","psap snp","hrt epb02","Sample","6.9","47.4%","8240","18","8222","-"
"F1","psapvsir","psap wt","hrt epb02","Sample","8.5","42.7%","8239","22","8217","-"
"F1","psapvsir","vsir snp","hrt epb02","Sample","1.2","130%","8235","3","8232","-"
"F1","psapvsir","vsir wt","hrt epb02","Sample","3.9","64.9%","8240","10","8230","-"
"F2","psapvsir","psap snp","hrt epb03","Sample","5.4","54.1%","8260","14","8246","-"
"F2","psapvsir","psap wt","hrt epb03","Sample","9.7","39.9%","8257","25","8232","-"
"F2","psapvsir","vsir snp","hrt epb03","Sample","1.2","130%","8259","3","8256","-"
"F2","psapvsir","vsir wt","hrt epb03","Sample","1.2","130%","8260","3","8257","-"
"F3","psapvsir","psap snp","hrt epb04","Sample","11.9","36.3%","8266","30","8236","-"
"F3","psapvsir","psap wt","hrt epb04","Sample","7.1","47.4%","8266","18","8248","-"
"F3","psapvsir","vsir snp","hrt epb04","Sample","0.394","274.5%","8270","1","8269","-"
"F3","psapvsir","vsir wt","hrt epb04","Sample","2.4","86.2%","8270","6","8264","-"
"F4","psapvsir","psap snp","hrt epb05","Sample","11.3","37.6%","8252","28","8224","-"
"F4","psapvsir","psap wt","hrt epb05","Sample","11.7","36.9%","8249","29","8220","-"
"F4","psapvsir","vsir snp","hrt epb05","Sample","0.806","168.5%","8246","2","8244","-"
"F4","psapvsir","vsir wt","hrt epb05","Sample","0.403","274.2%","8252","1","8251","-"
"F5","psapvsir","psap snp","hrt epb06","Sample","6.9","48.8%","8250","17","8233","-"
"F5","psapvsir","psap wt","hrt epb06","Sample","8.6","43.7%","8249","21","8228","-"
"F5","psapvsir","vsir snp","hrt epb06","Sample","0.0","-","8250","0","8250","-"
"F5","psapvsir","vsir wt","hrt epb06","Sample","0.408","274.2%","8251","1","8250","-"
"F6","psapvsir","psap snp","hrt unc01","Sample","7.2","47.5%","8248","18","8230","-"
"F6","psapvsir","psap wt","hrt unc01","Sample","6.0","52.3%","8248","15","8233","-"
"F6","psapvsir","vsir snp","hrt unc01","Sample","0.0","-","8249","0","8249","-"
"F6","psapvsir","vsir wt","hrt unc01","Sample","0.0","-","8248","0","8248","-"
"F7","psapvsir","psap snp","hrt unc03","Sample","2.9","78.9%","8163","7","8156","-"
"F7","psapvsir","psap wt","hrt unc03","Sample","2.9","78.9%","8162","7","8155","-"
"F7","psapvsir","vsir snp","hrt unc03","Sample","1.2","129.8%","8163","3","8160","-"
"F7","psapvsir","vsir wt","hrt unc03","Sample","1.2","129.8%","8163","3","8160","-"
"F8","psapvsir","psap snp","hrt unc04","Sample","3.2","73.3%","8248","8","8240","-"
"F8","psapvsir","psap wt","hrt unc04","Sample","7.6","46%","8243","19","8224","-"
"F8","psapvsir","vsir snp","hrt unc04","Sample","0.803","168.5%","8251","2","8249","-"
"F8","psapvsir","vsir wt","hrt unc04","Sample","2.8","78.9%","8252","7","8245","-"
"F9","psapvsir","psap snp","hrt unc05","Sample","7.2","47.3%","8256","18","8238","-"
"F9","psapvsir","psap wt","hrt unc05","Sample","12.8","35.1%","8252","32","8220","-"
"F9","psapvsir","vsir snp","hrt unc05","Sample","1.2","129.8%","8253","3","8250","-"
"F9","psapvsir","vsir wt","hrt unc05","Sample","2.4","86.1%","8259","6","8253","-"
"F10","psapvsir","psap snp","hrt unc06","Sample","14.3","33.1%","8264","36","8228","-"
"F10","psapvsir","psap wt","hrt unc06","Sample","11.5","37%","8263","29","8234","-"
"F10","psapvsir","vsir snp","hrt unc06","Sample","1.2","130.2%","8261","3","8258","-"
"F10","psapvsir","vsir wt","hrt unc06","Sample","1.2","130.2%","8268","3","8265","-"
"F11","psapvsir","psap snp","hrt unc08","Sample","230.9","8.1%","8265","565","7700","-"
"F11","psapvsir","psap wt","hrt unc08","Sample","209.0","8.5%","8264","513","7751","-"
"F11","psapvsir","vsir snp","hrt unc08","Sample","3.6","68.8%","8259","9","8250","-"
"F11","psapvsir","vsir wt","hrt unc08","Sample","5.9","52.3%","8264","15","8249","-"
"F12","psapvsir","psap snp","hrt unc09","Sample","195.8","8.8%","8089","482","7607","-"
"F12","psapvsir","psap wt","hrt unc09","Sample","191.3","8.9%","8087","471","7616","-"
"F12","psapvsir","vsir snp","hrt unc09","Sample","3.9","64.9%","8086","10","8076","-"
"F12","psapvsir","vsir wt","hrt unc09","Sample","3.9","64.9%","8088","10","8078","-"
"G1","psapvsir","psap snp","cb epb01","Sample","437.1","5.8%","8242","1071","7171","-"
