sep=,
"","Reaction Mix","Target","Sample/NTC/Control","Type","Concentration (copies/µL)","CI (95%)","Partitions (valid)","Partitions (positive)","Partitions (negative)","Threshold"
"C2","psapsgpl","sgpl snp","bd epb03","Sample","17.4","29.5%","8266","45","8221","-"
"C2","psapsgpl","sgpl wt","bd epb03","Sample","25.2","24.4%","8262","65","8197","-"
"C3","psapsgpl","psap snp","bd epb04","Sample","234.9","8%","8272","577","7695","-"
"C3","psapsgpl","psap wt","bd epb04","Sample","189.6","8.9%","8272","469","7803","-"
"C3","psapsgpl","sgpl snp","bd epb04","Sample","24.5","25.1%","8257","62","8195","-"
"C3","psapsgpl","sgpl wt","bd epb04","Sample","34.8","21%","8268","88","8180","-"
"C4","psapsgpl","psap snp","bd epb05","Sample","78.9","13.8%","8268","200","8068","-"
"C4","psapsgpl","psap wt","bd epb05","Sample","68.6","14.8%","8268","174","8094","-"
"C4","psapsgpl","sgpl snp","bd epb05","Sample","5.9","52.1%","8262","15","8247","-"
"C4","psapsgpl","sgpl wt","bd epb05","Sample","8.2","43.7%","8268","21","8247","-"
"C5","psapsgpl","psap snp","bd epb06","Sample","110.4","11.7%","8262","274","7988","-"
"C5","psapsgpl","psap wt","bd epb06","Sample","113.3","11.6%","8260","281","7979","-"
"C5","psapsgpl","sgpl snp","bd epb06","Sample","7.5","46%","8260","19","8241","-"
"C5","psapsgpl","sgpl wt","bd epb06","Sample","10.7","38.3%","8261","27","8234","-"
"C6","psapsgpl","psap snp","bd unc02","Sample","213.7","8.5%","8272","515","7757","-"
"C6","psapsgpl","psap wt","bd unc02","Sample","184.2","9.1%","8272","446","7826","-"
"C6","psapsgpl","sgpl snp","bd unc02","Sample","26.6","24.2%","8272","66","8206","-"
"C6","psapsgpl","sgpl wt","bd unc02","Sample","31.9","22.1%","8268","79","8189","-"
"C7","psapsgpl","psap snp","bd unc03","Sample","251.3","7.8%","8257","608","7649","-"
"C7","psapsgpl","psap wt","bd unc03","Sample","179.1","9.2%","8258","438","7820","-"
"C7","psapsgpl","sgpl snp","bd unc03","Sample","24.8","25%","8250","62","8188","-"
"C7","psapsgpl","sgpl wt","bd unc03","Sample","28.8","23.2%","8254","72","8182","-"
"C8","psapsgpl","psap snp","bd unc04","Sample","181.6","9.2%","8178","438","7740","-"
"C8","psapsgpl","psap wt","bd unc04","Sample","139.7","10.5%","8177","339","7838","-"
"C8","psapsgpl","sgpl snp","bd unc04","Sample","18.2","29.5%","8178","45","8133","-"
"C8","psapsgpl","sgpl wt","bd unc04","Sample","24.7","25.2%","8175","61","8114","-"
"C9","psapsgpl","psap snp","bd unc05","Sample","85.9","13.2%","8248","217","8031","-"
"C9","psapsgpl","psap wt","bd unc05","Sample","81.3","13.6%","8236","205","8031","-"
